Município;População_residente
291670 Itaquara;7751
291680 Itarantim;18651
291685 Itatim;13841
291690 Itiruçu;12589
291700 Itiúba;36200
291710 Itororó;19942
291720 Ituaçu;18302
291730 Ituberá;26930
291733 Iuiú;10963
291735 Jaborandi;8728
291740 Jacaraci;14500
291750 Jacobina;79580
291760 Jaguaquara;51635
291770 Jaguarari;30769
291780 Jaguaripe;16927
291790 Jandaíra;10377
291800 Jequié;152372
291810 Jeremoabo;38163
291820 Jiquiriçá;14096
291830 Jitaúna;13280
291835 João Dourado;23066
291840 Juazeiro;201499
291845 Jucuruçu;9972
291850 Jussara;15004
291855 Jussari;6322
291860 Jussiape;7533
291870 Lafaiete Coutinho;3830
291875 Lagoa Real;14187
291880 Laje;22679
291890 Lajedão;3782
291900 Lajedinho;3881
291905 Lajedo do Tabocal;8346
291910 Lamarão;9271
291915 Lapão;25785
291920 Lauro de Freitas;171042
291930 Lençóis;10589
291940 Licínio de Almeida;12268
291950 Livramento de Nossa Senhora;43514
291955 Luís Eduardo Magalhães;66371
291960 Macajuba;11201
291970 Macarani;17253
291980 Macaúbas;47915
291990 Macururé;7992
291992 Madre de Deus;18183
291995 Maetinga;6048
292000 Maiquinique;9229
292010 Mairi;19163
292020 Malhada;16058
292030 Malhada de Pedras;8389
292040 Manoel Vitorino;13948
292045 Mansidão;12759
292050 Maracás;25024
292060 Maragogipe;43114
292070 Maraú;19212
292080 Marcionílio Souza;10447
292090 Mascote;14257
292100 Mata de São João;41527
292105 Matina;11342
292110 Medeiros Neto;21642
292120 Miguel Calmon;26188
292130 Milagres;10994
292140 Mirangaba;16606
292145 Mirante;9902
292150 Monte Santo;52023
292160 Morpará;8233
292170 Morro do Chapéu;35251
292180 Mortugaba;11729
292190 Mucugê;10145
292200 Mucuri;37229
292205 Mulungu do Morro;11743
292210 Mundo Novo;24867
292220 Muniz Ferreira;7374
292225 Muquém de São Francisco;10433
292230 Muritiba;28944
292240 Mutuípe;21608
292250 Nazaré;27454
292260 Nilo Peçanha;12729
292265 Nordestina;12458
292270 Nova Canaã;16070
292273 Nova Fátima;7630
292275 Nova Ibiá;6570
292280 Nova Itarana;7563
292285 Nova Redenção;8053
292290 Nova Soure;24265
292300 Nova Viçosa;39535
292303 Novo Horizonte;11001
292305 Novo Triunfo;15067
292310 Olindina;25100
292320 Oliveira dos Brejinhos;21813
292330 Ouriçangas;8316
292335 Ourolândia;16578
292340 Palmas de Monte Alto;20894
292350 Palmeiras;8545
292360 Paramirim;21226
292370 Paratinga;29853
292380 Paripiranga;27958
292390 Pau Brasil;10479
292400 Paulo Afonso;110193
292405 Pé de Serra;13707
292410 Pedrão;6993
292420 Pedro Alexandre;17045
292430 Piatã;17257
292440 Pilão Arcado;33176
292450 Pindaí;15695
292460 Pindobaçu;20009
292465 Pintadas;10250
292467 Piraí do Norte;9833
292470 Piripá;12219
292480 Piritiba;22907
292490 Planaltino;8944
292500 Planalto;24627
292510 Poções;45903
292520 Pojuca;34106
292525 Ponto Novo;15524
292530 Porto Seguro;131642
292540 Potiraguá;9360
292550 Prado;27693
292560 Presidente Dutra;13807
292570 Presidente Jânio Quadros;12854
292575 Presidente Tancredo Neves;24517
292580 Queimadas;24602
292590 Quijingue;27357
292593 Quixabeira;9514
292595 Rafael Jambeiro;22916
292600 Remanso;39365
292610 Retirolândia;12281
292620 Riachão das Neves;21941
292630 Riachão do Jacuípe;33271
292640 Riacho de Santana;31027
292650 Ribeira do Amparo;14333
292660 Ribeira do Pombal;47877
292665 Ribeirão do Largo;10432
292670 Rio de Contas;12891
292680 Rio do Antônio;15015
292690 Rio do Pires;11948
292700 Rio Real;37754
292710 Rodelas;8045
292720 Ruy Barbosa;30010
292730 Salinas da Margarida;13921
292740 Salvador;2710968
292750 Santa Bárbara;19292
292760 Santa Brígida;14698
292770 Santa Cruz Cabrália;26623
292780 Santa Cruz da Vitória;6481
292790 Santa Inês;10312
292805 Santa Luzia;13025
292810 Santa Maria da Vitória;40165
292840 Santa Rita de Cássia;26653
292850 Santa Teresinha;9792
292800 Santaluz;34274
292820 Santana;24987
292830 Santanópolis;8835
292860 Santo Amaro;57978
292870 Santo Antônio de Jesus;93077
292880 Santo Estêvão;48897
292890 São Desidério;28921
292895 São Domingos;9266
292910 São Felipe;20329
292900 São Félix;14159
292905 São Félix do Coribe;13243
292920 São Francisco do Conde;34226
292925 São Gabriel;18430
292930 São Gonçalo dos Campos;34232
292935 São José da Vitória;5609
292937 São José do Jacuípe;10293
292940 São Miguel das Matas;10474
292950 São Sebastião do Passé;42485
292960 Sapeaçu;16619
292970 Sátiro Dias;19054
292975 Saubara;11354
292980 Saúde;11921
292990 Seabra;42163
293000 Sebastião Laranjeiras;10563
293010 Senhor do Bonfim;75437
293020 Sento Sé;38174
293015 Serra do Ramalho;31525
293030 Serra Dourada;17963
293040 Serra Preta;14993
293050 Serrinha;77211
293060 Serrolândia;12464
293070 Simões Filho;121416
293075 Sítio do Mato;12161
293076 Sítio do Quinto;11930
293077 Sobradinho;22109
293080 Souto Soares;16069
293090 Tabocas do Brejo Velho;11433
293100 Tanhaçu;20001
293105 Tanque Novo;16323
293110 Tanquinho;8035
293120 Taperoá;19174
293130 Tapiramutá;16434
293135 Teixeira de Freitas;143001
293140 Teodoro Sampaio;7746
293150 Teofilândia;21581
293160 Teolândia;14113
293170 Terra Nova;12793
293180 Tremedal;17750
293190 Tucano;52734
293200 Uauá;24015
293210 Ubaíra;20714
293220 Ubaitaba;20214
293230 Ubatã;25575
293240 Uibaí;13642
293245 Umburanas;17432
293250 Una;22992
293260 Urandi;16493
293270 Uruçuca;19642
293280 Utinga;18367
293290 Valença;90319
293300 Valente;25342
293305 Várzea da Roça;13834
293310 Várzea do Poço;8759
293315 Várzea Nova;12910
293317 Varzedo;8987
293320 Vera Cruz;38748
293325 Vereda;6681
293330 Vitória da Conquista;315884
293340 Wagner;8985
293345 Wanderley;12356
293350 Wenceslau Guimarães;21910
293360 Xique-Xique;45660
310010 Abadia dos Dourados;6743
310020 Abaeté;22740
310030 Abre Campo;13306
310040 Acaiaca;3925
310050 Açucena;10093
310060 Água Boa;14803
310070 Água Comprida;2015
310080 Aguanil;4129
310090 Águas Formosas;18575
310100 Águas Vermelhas;12850
310110 Aimorés;24937
310120 Aiuruoca;6116
310130 Alagoa;2696
310140 Albertina;2924
310150 Além Paraíba;34461
310160 Alfenas;74804
310163 Alfredo Vasconcelos;6223
310170 Almenara;39287
310180 Alpercata;7204
310190 Alpinópolis;18709
310200 Alterosa;13829
310205 Alto Caparaó;5392
315350 Alto Jequitibá;8297
310210 Alto Rio Doce;11903
310220 Alvarenga;4329
310230 Alvinópolis;15212
310240 Alvorada de Minas;3549
310250 Amparo do Serra;4910
310260 Andradas;37920
310280 Andrelândia;12153
310285 Angelândia;8084
310290 Antônio Carlos;11151
310300 Antônio Dias;9493
310310 Antônio Prado de Minas;1653
310320 Araçaí;2258
310330 Aracitaba;2054
310340 Araçuaí;36059
310350 Araguari;110983
310360 Arantina;2811
310370 Araponga;8188
310375 Araporã;6271
310380 Arapuá;2780
310390 Araújos;8135
310400 Araxá;95888
310410 Arceburgo;9732
310420 Arcos;37188
310430 Areado;13958
310440 Argirita;2860
310445 Aricanduva;4848
310450 Arinos;17669
310460 Astolfo Dutra;13237
310470 Ataléia;14109
310480 Augusto de Lima;4930
310490 Baependi;18426
310500 Baldim;7877
310510 Bambuí;22891
310520 Bandeira;4938
310530 Bandeira do Sul;5405
310540 Barão de Cocais;29205
310550 Barão de Monte Alto;5643
310560 Barbacena;128120
310570 Barra Longa;5930
310590 Barroso;19787
310600 Bela Vista de Minas;10028
310610 Belmiro Braga;3400
310620 Belo Horizonte;2395785
310630 Belo Oriente;23984
310640 Belo Vale;7553
310650 Berilo;12198
310665 Berizal;4431
310660 Bertópolis;4508
310670 Betim;388873
310680 Bias Fortes;3703
310690 Bicas;13783
310700 Biquinhas;2602
310710 Boa Esperança;38734
310720 Bocaina de Minas;5011
310730 Bocaiúva;47236
310740 Bom Despacho;46482
310750 Bom Jardim de Minas;6480
310760 Bom Jesus da Penha;3942
310770 Bom Jesus do Amparo;5593
310780 Bom Jesus do Galho;15242
310790 Bom Repouso;10449
310800 Bom Sucesso;17271
310810 Bonfim;6811
310820 Bonfinópolis de Minas;5778
310825 Bonito de Minas;9947
310830 Borda da Mata;17523
310840 Botelhos;14893
310850 Botumirim;6447
310870 Brás Pires;4567
310855 Brasilândia de Minas;14642
310860 Brasília de Minas;31356
310880 Braúnas;4973
310890 Brazópolis;14585
310900 Brumadinho;35085
310910 Bueno Brandão;10886
310920 Buenópolis;10281
310925 Bugre;3999
310930 Buritis;23091
310940 Buritizeiro;27076
310945 Cabeceira Grande;6534
310950 Cabo Verde;13838
310960 Cachoeira da Prata;3635
310970 Cachoeira de Minas;11107
310270 Cachoeira de Pajeú;9025
310980 Cachoeira Dourada;2536
310990 Caetanópolis;10467
311000 Caeté;41423
311010 Caiana;5059
311020 Cajuri;4026
311030 Caldas;13764
311040 Camacho;3097
311050 Camanducaia;21162
311060 Cambuí;27020
311070 Cambuquira;12612
311080 Campanário;3586
311090 Campanha;15635
311100 Campestre;20707
311110 Campina Verde;19358
311115 Campo Azul;3701
311120 Campo Belo;51900
311130 Campo do Meio;11483
311140 Campo Florido;7103
311150 Campos Altos;14416
311160 Campos Gerais;27760
311190 Cana Verde;5578
311170 Canaã;4604
311180 Canápolis;11476
311200 Candeias;14616
311205 Cantagalo;4249
311210 Caparaó;5241
311220 Capela Nova;4724
311230 Capelinha;35368
311240 Capetinga;7039
311250 Capim Branco;9030
311260 Capinópolis;15424
311265 Capitão Andrade;5019
311270 Capitão Enéas;14372
311280 Capitólio;8251
311290 Caputira;9060
311300 Caraí;22549
311310 Caranaíba;3260
311320 Carandaí;23692
311330 Carangola;32353
311340 Caratinga;86364
311350 Carbonita;9176
311360 Careaçu;6372
311370 Carlos Chagas;19779
311380 Carmésia;2477
311390 Carmo da Cachoeira;11872
311400 Carmo da Mata;11007
311410 Carmo de Minas;13932
311420 Carmo do Cajuru;20444
311430 Carmo do Paranaíba;29777
311440 Carmo do Rio Claro;20531
311450 Carmópolis de Minas;17456
311455 Carneirinho;9556
311460 Carrancas;3958
311470 Carvalhópolis;3380
311480 Carvalhos;4530
311490 Casa Grande;2241
311500 Cascalho Rico;2893
311510 Cássia;17433
311530 Cataguases;70630
311535 Catas Altas;4938
311540 Catas Altas da Noruega;3489
311545 Catuji;6614
311547 Catuti;5067
311550 Caxambu;21641
311560 Cedro do Abaeté;1199
311570 Central de Minas;6806
311580 Centralina;10271
311590 Chácara;2856
311600 Chalé;5643
311610 Chapada do Norte;15184
311615 Chapada Gaúcha;11339
311620 Chiador;2759
311630 Cipotânea;6578
311640 Claraval;4588
311650 Claro dos Poções;7712
311660 Cláudio;26262
311670 Coimbra;7135
311680 Coluna;8972
311690 Comendador Gomes;2992
311700 Comercinho;8011
311710 Conceição da Aparecida;9888
311520 Conceição da Barra de Minas;3944
311730 Conceição das Alagoas;23932
311720 Conceição das Pedras;2755
311740 Conceição de Ipanema;4468
311750 Conceição do Mato Dentro;17798
311760 Conceição do Pará;5214
311770 Conceição do Rio Verde;13052
311780 Conceição dos Ouros;10609
311783 Cônego Marinho;7196
311787 Confins;6077
311790 Congonhal;10732
311800 Congonhas;49616
311810 Congonhas do Norte;4950
311820 Conquista;6591
311830 Conselheiro Lafaiete;118578
311840 Conselheiro Pena;22319
311850 Consolação;1732
311860 Contagem;613815
311870 Coqueiral;9241
311880 Coração de Jesus;26079
311890 Cordisburgo;8689
311900 Cordislândia;3447
311910 Corinto;23819
311920 Coroaci;10190
311930 Coromandel;27562
311940 Coronel Fabriciano;104637
311950 Coronel Murta;9115
311960 Coronel Pacheco;2996
311970 Coronel Xavier Chaves;3319
311980 Córrego Danta;3349
311990 Córrego do Bom Jesus;3716
311995 Córrego Fundo;5883
312000 Córrego Novo;3050
312010 Couto de Magalhães de Minas;4234
312015 Crisólita;6161
312020 Cristais;11553
312030 Cristália;5787
312040 Cristiano Otoni;5023
312050 Cristina;10191
312060 Crucilândia;4800
312070 Cruzeiro da Fortaleza;3967
312080 Cruzília;14716
312083 Cuparaque;4728
312087 Curral de Dentro;7055
312090 Curvelo;75014
312100 Datas;5237
312110 Delfim Moreira;7962
312120 Delfinópolis;6869
312125 Delta;8546
312130 Descoberto;4804
312140 Desterro de Entre Rios;7032
312150 Desterro do Melo;2986
312160 Diamantina;46125
312170 Diogo de Vasconcelos;3830
312180 Dionísio;8520
312190 Divinésia;3309
312200 Divino;19241
312210 Divino das Laranjeiras;4933
312220 Divinolândia de Minas;7114
312230 Divinópolis;217404
312235 Divisa Alegre;6046
312240 Divisa Nova;5797
312245 Divisópolis;9351
312247 Dom Bosco;3778
312250 Dom Cavati;5170
312260 Dom Joaquim;4511
312270 Dom Silvério;5192
312280 Dom Viçoso;2988
312290 Dona Eusébia;6098
312300 Dores de Campos;9443
312310 Dores de Guanhães;5200
312320 Dores do Indaiá;13686
312330 Dores do Turvo;4412
312340 Doresópolis;1454
312350 Douradoquara;1850
312352 Durandé;7487
312360 Elói Mendes;25715
312370 Engenheiro Caldas;10421
312380 Engenheiro Navarro;7128
312385 Entre Folhas;5194
312390 Entre Rios de Minas;14413
312400 Ervália;18087
312410 Esmeraldas;62262
312420 Espera Feliz;23208
312430 Espinosa;31134
312440 Espírito Santo do Dourado;4470
312450 Estiva;10918
312460 Estrela Dalva;2440
312470 Estrela do Indaiá;3504
312480 Estrela do Sul;7532
312490 Eugenópolis;10657
312500 Ewbank da Câmara;3775
312510 Extrema;30016
312520 Fama;2350
312530 Faria Lemos;3342
312540 Felício dos Santos;5054
312560 Felisburgo;6974
312570 Felixlândia;14323
312580 Fernandes Tourinho;3101
312590 Ferros;10612
312595 Fervedouro;10452
312600 Florestal;6744
312610 Formiga;65464
312620 Formoso;8427
312630 Fortaleza de Minas;4150
312640 Fortuna de Minas;2746
312650 Francisco Badaró;10239
312660 Francisco Dumont;4920
312670 Francisco Sá;25116
312675 Franciscópolis;5706
312680 Frei Gaspar;5865
312690 Frei Inocêncio;9033
312695 Frei Lagonegro;3350
312700 Fronteira;14799
312705 Fronteira dos Vales;4655
312707 Fruta de Leite;5814
312710 Frutal;54511
312720 Funilândia;3942
312730 Galiléia;6908
312733 Gameleiras;5121
312735 Glaucilândia;2992
312737 Goiabeira;3105
312738 Goianá;3710
312740 Gonçalves;4235
312750 Gonzaga;5953
312760 Gouveia;11680
312770 Governador Valadares;266190
312780 Grão Mogol;15145
312790 Grupiara;1373
312800 Guanhães;31781
312810 Guapé;13911
312820 Guaraciaba;10218
312825 Guaraciama;4756
312830 Guaranésia;18727
312840 Guarani;8702
312850 Guarará;3894
312860 Guarda-Mor;6552
312870 Guaxupé;49792
312880 Guidoval;7164
312890 Guimarânia;7399
312900 Guiricema;8624
312910 Gurinhatã;6025
312920 Heliodora;6192
312930 Iapu;10406
312940 Ibertioga;5021
312950 Ibiá;23547
312960 Ibiaí;7928
312965 Ibiracatu;6098
312970 Ibiraci;12470
312980 Ibirité;162867
312990 Ibitiúra de Minas;3395
313000 Ibituruna;2883
313005 Icaraí de Minas;10963
313010 Igarapé;36363
313020 Igaratinga;9553
313030 Iguatama;7993
313040 Ijaci;5980
313050 Ilicínea;11633
313055 Imbé de Minas;6502
313060 Inconfidentes;6973
313065 Indaiabira;7316
313070 Indianópolis;6312
313080 Ingaí;2650
313090 Inhapim;24204
313100 Inhaúma;5846
313110 Inimutaba;7034
313115 Ipaba;17037
313120 Ipanema;18455
313130 Ipatinga;243541
313140 Ipiaçu;4120
313150 Ipuiúna;9607
313160 Iraí de Minas;6553
313170 Itabira;111514
313180 Itabirinha;10826
313190 Itabirito;46589
313200 Itacambira;5053
313210 Itacarambi;17761
313220 Itaguara;12534
313230 Itaipé;11957
313240 Itajubá;91643
313250 Itamarandiba;32595
313260 Itamarati de Minas;4123
313270 Itambacuri;22831
313280 Itambé do Mato Dentro;2238
313290 Itamogi;10293
313300 Itamonte;14276
313310 Itanhandu;14366
313320 Itanhomi;11899
313330 Itaobim;20961
313340 Itapagipe;13932
313350 Itapecerica;21399
313360 Itapeva;8861
313370 Itatiaiuçu;10142
313375 Itaú de Minas;15135
313380 Itaúna;86762
313390 Itaverava;5711
313400 Itinga;14485
313410 Itueta;5859
313420 Ituiutaba;98392
313430 Itumirim;6101
313440 Iturama;35308
313450 Itutinga;3879
313460 Jaboticatubas;17679
313470 Jacinto;12142
313480 Jacuí;7520
313490 Jacutinga;23341
313500 Jaguaraçu;3011
313505 Jaíba;34539
313507 Jampruca;5121
313510 Janaúba;67581
313520 Januária;65744
313530 Japaraíba;4010
313535 Japonvar;8331
313540 Jeceaba;5288
313545 Jenipapo de Minas;7211
313550 Jequeri;12726
313560 Jequitaí;7893
313570 Jequitibá;5154
313580 Jequitinhonha;24317
313590 Jesuânia;4760
313600 Joaíma;15000
313610 Joanésia;5246
313620 João Monlevade;74655
313630 João Pinheiro;45848
313640 Joaquim Felício;4371
313650 Jordânia;10394
313652 José Gonçalves de Minas;4532
313655 José Raydan;4487
313657 Josenópolis;4614
313665 Juatuba;23080
313670 Juiz de Fora;525225
313680 Juramento;4146
313690 Juruaia;9474
313695 Juvenília;5697
313700 Ladainha;17170
313710 Lagamar;7584
313720 Lagoa da Prata;47076
313730 Lagoa dos Patos;4191
313740 Lagoa Dourada;12373
313750 Lagoa Formosa;17293
313753 Lagoa Grande;8786
313760 Lagoa Santa;54732
313770 Lajinha;19622
313780 Lambari;19752
313790 Lamim;3432
313800 Laranjal;6517
313810 Lassance;6474
313820 Lavras;94228
313830 Leandro Ferreira;3202
313835 Leme do Prado;4815
313840 Leopoldina;51286
313850 Liberdade;5279
313860 Lima Duarte;16216
313862 Limeira do Oeste;6999
313865 Lontra;8506
313867 Luisburgo;6225
313868 Luislândia;6443
313870 Luminárias;5413
313880 Luz;17585
313890 Machacalis;6985
313900 Machado;39264
313910 Madre de Deus de Minas;4930
313920 Malacacheta;18705
313925 Mamonas;6349
313930 Manga;19489
313940 Manhuaçu;81455
313950 Manhumirim;21587
313960 Mantena;27148
313980 Mar de Espanha;11928
313970 Maravilhas;7304
313990 Maria da Fé;14157
314000 Mariana;55353
314010 Marilac;4189
314015 Mário Campos;13594
314020 Maripá de Minas;2818
314030 Marliéria;4008
314040 Marmelópolis;2919
314050 Martinho Campos;12731
314053 Martins Soares;7398
314055 Mata Verde;7994
314060 Materlândia;4558
314070 Mateus Leme;28417
317150 Mathias Lobato;3329
314080 Matias Barbosa;13603
314085 Matias Cardoso;10188
314090 Matipó;17843
314100 Mato Verde;12609
314110 Matozinhos;34624
314120 Matutina;3750
314130 Medeiros;3506
314140 Medina;20934
314150 Mendes Pimentel;6338
314160 Mercês;10415
314170 Mesquita;5963
314180 Minas Novas;30852
314190 Minduri;3841
314200 Mirabela;13116
314210 Miradouro;10324
314220 Miraí;14009
314225 Miravânia;4604
314230 Moeda;4723
314240 Moema;7106
314250 Monjolos;2327
314260 Monsenhor Paulo;8244
314270 Montalvânia;15631
314280 Monte Alegre de Minas;19863
314290 Monte Azul;21717
314300 Monte Belo;13049
314310 Monte Carmelo;46055
314315 Monte Formoso;4693
314320 Monte Santo de Minas;21238
314340 Monte Sião;21658
314330 Montes Claros;370216
314345 Montezuma;7599
314350 Morada Nova de Minas;8353
314360 Morro da Garça;2615
314370 Morro do Pilar;3349
314380 Munhoz;6197
314390 Muriaé;102074
314400 Mutum;26657
314410 Muzambinho;20406
314420 Nacip Raydan;3159
314430 Nanuque;40716
314435 Naque;6453
314437 Natalândia;3279
314440 Natércia;4661
314450 Nazareno;8062
314460 Nepomuceno;25871
314465 Ninheira;9885
314467 Nova Belém;3617
314470 Nova Era;17494
314480 Nova Lima;83507
314490 Nova Módica;3744
314500 Nova Ponte;13314
314505 Nova Porteirinha;7400
314510 Nova Resende;15599
314520 Nova Serrana;79174
313660 Nova União;5575
314530 Novo Cruzeiro;30767
314535 Novo Oriente de Minas;10395
314537 Novorizonte;5017
314540 Olaria;1927
314545 Olhos-d'Água;5416
314550 Olímpio Noronha;2577
314560 Oliveira;39801
314570 Oliveira Fortes;2120
314580 Onça de Pitangui;3066
314585 Oratórios;4514
314587 Orizânia;7409
314590 Ouro Branco;36006
314600 Ouro Fino;31893
314610 Ouro Preto;70886
314620 Ouro Verde de Minas;5985
314625 Padre Carvalho;5926
314630 Padre Paraíso;19057
314655 Pai Pedro;5950
314640 Paineiras;4592
314650 Pains;8047
314660 Paiva;1549
314670 Palma;6543
314675 Palmópolis;6636
314690 Papagaios;14433
314710 Pará de Minas;85908
314700 Paracatu;86153
314720 Paraguaçu;20442
314730 Paraisópolis;19664
314740 Paraopeba;22893
314760 Passa Quatro;15692
314770 Passa Tempo;8155
314780 Passa-Vinte;2067
314750 Passabém;1739
314790 Passos;107661
314795 Patis;5642
314800 Patos de Minas;140950
314810 Patrocínio;83882
314820 Patrocínio do Muriaé;5352
314830 Paula Cândido;9307
314840 Paulistas;4889
314850 Pavão;8541
314860 Peçanha;17272
314870 Pedra Azul;23874
314875 Pedra Bonita;6739
314880 Pedra do Anta;3361
314890 Pedra do Indaiá;3885
314900 Pedra Dourada;2247
314910 Pedralva;11386
314915 Pedras de Maria da Cruz;10534
314920 Pedrinópolis;3510
314930 Pedro Leopoldo;59670
314940 Pedro Teixeira;1785
314950 Pequeri;3188
314960 Pequi;4131
314970 Perdigão;9396
314980 Perdizes;14713
314990 Perdões;20292
314995 Periquito;6975
315000 Pescador;4142
315010 Piau;2816
315015 Piedade de Caratinga;7377
315020 Piedade de Ponte Nova;4067
315030 Piedade do Rio Grande;4656
315040 Piedade dos Gerais;4696
315050 Pimenta;8299
315053 Pingo-d'Água;4511
315057 Pintópolis;7251
315060 Piracema;6391
315070 Pirajuba;4946
315080 Piranga;17266
315090 Piranguçu;5254
315100 Piranguinho;8110
315110 Pirapetinga;10414
315120 Pirapora;53832
315130 Piraúba;10821
315140 Pitangui;25771
315150 Piumhi;32352
315160 Planura;10700
315170 Poço Fundo;16082
315180 Poços de Caldas;154974
315190 Pocrane;8856
315200 Pompéu;29561
315210 Ponte Nova;57706
315213 Ponto Chique;4014
315217 Ponto dos Volantes;11469
315220 Porteirinha;37588
315230 Porto Firme;10560
315240 Poté;15801
315250 Pouso Alegre;134215
315260 Pouso Alto;6145
315270 Prados;8495
315280 Prata;26139
315290 Pratápolis;8746
315300 Pratinha;3323
315310 Presidente Bernardes;5491
315320 Presidente Juscelino;3846
315330 Presidente Kubitschek;2961
315340 Presidente Olegário;18698
315360 Prudente de Morais;9776
315370 Quartel Geral;3346
315380 Queluzito;1872
315390 Raposos;15502
315400 Raul Soares;23748
315410 Recreio;10316
315415 Reduto;6667
315420 Resende Costa;11001
315430 Resplendor;17107
315440 Ressaquinha;4735
315445 Riachinho;8013
315450 Riacho dos Machados;9361
315460 Ribeirão das Neves;303029
315470 Ribeirão Vermelho;3857
315480 Rio Acima;9307
315490 Rio Casca;14042
315510 Rio do Prado;5191
315500 Rio Doce;2488
315520 Rio Espera;5939
315530 Rio Manso;5372
315540 Rio Novo;8737
315550 Rio Paranaíba;11939
315560 Rio Pardo de Minas;29381
315570 Rio Piracicaba;14151
315580 Rio Pomba;17224
315590 Rio Preto;5315
315600 Rio Vermelho;13455
315610 Ritápolis;4850
315620 Rochedo de Minas;2148
315630 Rodeiro;7093
315640 Romaria;3575
315645 Rosário da Limeira;4305
315650 Rubelita;7406
315660 Rubim;9958
315670 Sabará;127897
315680 Sabinópolis;15619
315690 Sacramento;24283
315700 Salinas;39550
315710 Salto da Divisa;6872
315720 Santa Bárbara;28435
315725 Santa Bárbara do Leste;7754
315727 Santa Bárbara do Monte Verde;2852
315730 Santa Bárbara do Tugúrio;4532
315733 Santa Cruz de Minas;7990
315737 Santa Cruz de Salinas;4336
315740 Santa Cruz do Escalvado;4934
315750 Santa Efigênia de Minas;4552
315760 Santa Fé de Minas;3935
315765 Santa Helena de Minas;6101
315770 Santa Juliana;11830
315780 Santa Luzia;205666
315790 Santa Margarida;15207
315800 Santa Maria de Itabira;10584
315810 Santa Maria do Salto;5261
315820 Santa Maria do Suaçuí;14402
315920 Santa Rita de Caldas;8990
315940 Santa Rita de Ibitipoca;3544
315930 Santa Rita de Jacutinga;4960
315935 Santa Rita de Minas;6661
315950 Santa Rita do Itueto;5643
315960 Santa Rita do Sapucaí;38734
315970 Santa Rosa da Serra;3241
315980 Santa Vitória;18406
315830 Santana da Vargem;7188
315840 Santana de Cataguases;3662
315850 Santana de Pirapama;7918
315860 Santana do Deserto;3873
315870 Santana do Garambéu;2273
315880 Santana do Jacaré;4638
315890 Santana do Manhuaçu;8579
315895 Santana do Paraíso;28641
315900 Santana do Riacho;4066
315910 Santana dos Montes;3804
315990 Santo Antônio do Amparo;17532
316000 Santo Antônio do Aventureiro;3542
316010 Santo Antônio do Grama;4041
316020 Santo Antônio do Itambé;4067
316030 Santo Antônio do Jacinto;11720
316040 Santo Antônio do Monte;26353
316045 Santo Antônio do Retiro;7001
316050 Santo Antônio do Rio Abaixo;1771
316060 Santo Hipólito;3201
316070 Santos Dumont;46208
316080 São Bento Abade;4704
316090 São Brás do Suaçuí;3548
316095 São Domingos das Dores;5441
316100 São Domingos do Prata;17314
316105 São Félix de Minas;3372
316110 São Francisco;54180
316120 São Francisco de Paula;6476
316130 São Francisco de Sales;5852
316140 São Francisco do Glória;5100
316150 São Geraldo;10648
316160 São Geraldo da Piedade;4295
316165 São Geraldo do Baixio;3580
316170 São Gonçalo do Abaeté;6390
316180 São Gonçalo do Pará;10765
316190 São Gonçalo do Rio Abaixo;9976
312550 São Gonçalo do Rio Preto;3071
316200 São Gonçalo do Sapucaí;24148
316210 São Gotardo;32452
316220 São João Batista do Glória;6981
316225 São João da Lagoa;4695
316230 São João da Mata;2728
316240 São João da Ponte;25257
316245 São João das Missões;11940
316250 São João del Rei;85353
316255 São João do Manhuaçu;10476
316257 São João do Manteninha;5307
316260 São João do Oriente;7781
316265 São João do Pacuí;4120
316270 São João do Paraíso;22517
316280 São João Evangelista;15558
316290 São João Nepomuceno;25249
316292 São Joaquim de Bicas;26653
316294 São José da Barra;6888
316295 São José da Lapa;20524
316300 São José da Safira;4103
316310 São José da Varginha;4345
316320 São José do Alegre;4026
316330 São José do Divino;3830
316340 São José do Goiabal;5580
316350 São José do Jacuri;6518
316360 São José do Mantimento;2625
316370 São Lourenço;42372
316380 São Miguel do Anta;6778
316390 São Pedro da União;4953
316410 São Pedro do Suaçuí;5493
316400 São Pedro dos Ferros;8223
316420 São Romão;10653
316430 São Roque de Minas;6741
316440 São Sebastião da Bela Vista;5045
316443 São Sebastião da Vargem Alegre;2832
316447 São Sebastião do Anta;5884
316450 São Sebastião do Maranhão;10503
316460 São Sebastião do Oeste;5980
316470 São Sebastião do Paraíso;65984
316480 São Sebastião do Rio Preto;1588
316490 São Sebastião do Rio Verde;2131
316520 São Thomé das Letras;6724
316500 São Tiago;10609
316510 São Tomás de Aquino;7062
316530 São Vicente de Minas;7136
316540 Sapucaí-Mirim;6360
316550 Sardoá;5718
316553 Sarzedo;27104
316556 Sem-Peixe;2799
316557 Senador Amaral;5233
316560 Senador Cortes;1987
316570 Senador Firmino;7326
316580 Senador José Bento;1793
316590 Senador Modestino Gonçalves;4481
316600 Senhora de Oliveira;5690
316610 Senhora do Porto;3494
316620 Senhora dos Remédios;10222
316630 Sericita;7149
316640 Seritinga;1797
316650 Serra Azul de Minas;4224
316660 Serra da Saudade;807
316680 Serra do Salitre;10725
316670 Serra dos Aimorés;8447
316690 Serrania;7548
316695 Serranópolis de Minas;4484
316700 Serranos;1984
316710 Serro;20809
316720 Sete Lagoas;218574
